PBDB_entry (5148 unique),alphabet_filtered (3580 unique),word_striped (3133 unique),spelling (2364 unique)
"""Birth prep"" pills",birth prep pills,birth prep pills,birth prep pills
"""Cold medicine"" (unspecified brand)",cold medicine unspecified brand,cold medicine unspecified brand,cod medicine unspecified bran
"""Gentle birth formula""",gentle birth formula,gentle birth formula,gentle birth formula
"""Herbal calcium""",herbal calcium,herbal calcium,herbal calcium
"""Liver vitamins""",liver vitamins,liver vitamins,liver vitamin
"""Medications for pain/contractions""",medications for paincontractions,medications for paincontractions,medications for paincontractions
"""Pain killers""",pain killers,pain killers,papain killers
non on file.,non on file,non on file,non von file
"""malaria drug""",malaria drug,malaria drug,malaria drug
"""med for vaginal infection""",med for vaginal infection,med for vaginal infection,med for vaginal infection
"""nausea meds""",nausea meds,nausea meds,nausea meds
(ORTHO TRI-CYCLEN,ortho tri cyclen,ortho tri cyclen,north tri cyclen
(VITAMIN D,vitamin d,vitamin d,vitamin d
*NO PNV RECORDS FOUND*,no pnv records found,no pnv records found,no pnv records found
*PRENATAL RECORDS N/A*,prenatal records na,prenatal records na,prenatal records rna
17-OHP, ohp,ohp,ohp
6-mercaptopurine, mercaptopurine,mercaptopurine,mercaptopurine
77074,,,
77081,,,
AEROCHAMBER SPACER,aerochamber spacer,aerochamber spacer,aerochamber spacer
ALLERGY,allergy,allergy,allergy
AMBIEN,ambien,ambien,ambien
AMMONIUM LACTATE 12 % LOTION,ammonium lactate   lotion,ammonium lactate,ammonium lactate
APPLE CIDER VINEGAR,apple cider vinegar,apple cider vinegar,apple cider vinegar
ATB,atb,atb,atb
AYR nasal drops,ayr nasal drops,ayr,ayr
AZT,azt,azt,azt
Abacavir,abacavir,abacavir,abacavir
Abacavir-Dolutegravir-Lamivudine,abacavir dolutegravir lamivudine,abacavir dolutegravir lamivudine,abacavir dolutegravir lamivudine
Abacavir-Lamivudine-Zidovudine,abacavir lamivudine zidovudine,abacavir lamivudine zidovudine,abacavir  lamivudine  zidovudine
Acarbose,acarbose,acarbose,acarbose
Acetaminophen,acetaminophen,acetaminophen,acetaminophen
Acetaminophen-Codeine,acetaminophen codeine,acetaminophen codeine,acetaminophen  codeine
Acetaminophen-Dyphenhydramine,acetaminophen dyphenhydramine,acetaminophen dyphenhydramine,acetaminophen  diphenhydramine
Acetaminophen-Pamabrom,acetaminophen pamabrom,acetaminophen pamabrom,acetaminophen  tramadol
Acetazolamide,acetazolamide,acetazolamide,acetazolamide
Acetic Acid-Oxyquinoline,acetic acid oxyquinoline,acetic acid oxyquinoline,acetic acid oxyquinoline
Acetyl-L-Carnitine,acetyl l carnitine,acetyl l carnitine,acetylcarnitine
Acid,acid,acid,acid
Acrivastine,acrivastine,acrivastine,acrivastine
Actin,actin,actin,actin
Acyclovir,acyclovir,acyclovir,acyclovir
Adalat,adalat,adalat,adalat
Adalimumab,adalimumab,adalimumab,adalimumab
Adarax,adarax,adarax,adarax
Adenosine,adenosine,adenosine,adenosine
Afrin,afrin,afrin,afrin
Albiglutide,albiglutide,albiglutide,liraglutide
Albuterol,albuterol,albuterol,albuterol
Aldomet,aldomet,aldomet,aldomet
Aldomine,aldomine,aldomine,aldomine
Alegra,alegra,alegra,alegra
Aleve,aleve,aleve,aleve
Alfalfa,alfalfa,alfalfa,alfalfa
Allegra,allegra,allegra,allegra
Almonds,almonds,almonds,almond
Alpha-Lipoic Acid,alpha lipoic acid,alpha lipoic acid,alpha lipoic acid
Alphalpha,alphalpha,alphalpha,alphalpha
Alprazolam,alprazolam,alprazolam,alprazolam
Amiodarone,amiodarone,amiodarone,amiodarone
Amitriptyline,amitriptyline,amitriptyline,amitriptyline
Amitriptyline HCl,amitriptyline hcl,amitriptyline,amitriptyline
Amitrptyline,amitrptyline,amitrptyline,amitriptyline
Amixil,amixil,amixil,amixil
Amlodipine,amlodipine,amlodipine,amlodipine
Amorthyoid,amorthyoid,amorthyoid,amorthyoid
Amoxicillin,amoxicillin,amoxicillin,amoxicillin
Amoxicillin-Clavulanic acid,amoxicillin clavulanic acid,amoxicillin clavulanic acid,amoxicillin  clavulanate
Amphetamine,amphetamine,amphetamine,amphetamine
Ampicillin,ampicillin,ampicillin,ampicillin
Ampicillin-Sulbactam,ampicillin sulbactam,ampicillin sulbactam,ampicillin sulbactam
Antacids,antacids,antacids,antacids
Antihistamine,antihistamine,antihistamine,histamine
Antihistamines,antihistamines,antihistamines,antihistamines
Antipyrine-benzocaine ear drops,antipyrine benzocaine ear drops,antipyrine benzocaine ear,antipyrine  benzocaine
Antivan,antivan,antivan,antivan
Anulsol-HC,anulsol hc,anulsol hc,anulsol hc
Anusol,anusol,anusol,anusol
Aquaphor Healing 41%,aquaphor healing ,aquaphor healing,aquaphor healing
Aripiprazole,aripiprazole,aripiprazole,aripiprazole
Arithromycin,arithromycin,arithromycin,clarithromycin
Armodafinil,armodafinil,armodafinil,armodafinil
Artichoke supplement,artichoke supplement,artichoke supplement,artichoke supplement
Artificial tears,artificial tears,artificial tears,artificial tears
Ascorbic Acid,ascorbic acid,ascorbic acid,ascorbic acid
Ascorbic acid,ascorbic acid,ascorbic acid,ascorbic acid
Ashwagandha,ashwagandha,ashwagandha,ashwagandha
Asmanex,asmanex,asmanex,asmanex
Aspirin,aspirin,aspirin,aspirin
Aspirin-Acetaminophen-Caffeine,aspirin acetaminophen caffeine,aspirin acetaminophen caffeine,acetaminophen  caffeine
Asthma Inhaler,asthma inhaler,asthma,asthma
Asthma inhaler,asthma inhaler,asthma,asthma
Atenolol,atenolol,atenolol,atenolol
Atorvastatin,atorvastatin,atorvastatin,atorvastatin
Atovaquone,atovaquone,atovaquone,atovaquone
Axert,axert,axert,axert
Ayurvedic medicine,ayurvedic medicine,ayurvedic medicine,ayurvedic medicine
Azalastine,azalastine,azalastine,azelastine
Azathioprine,azathioprine,azathioprine,azathioprine
Azelaic Acid,azelaic acid,azelaic acid,azelaic acid
Azelastin,azelastin,azelastin,azelastine
Azelastine,azelastine,azelastine,azelastine
Azelastine nasal spray,azelastine nasal spray,azelastine,azelastine
Azelastine ophthalmic solution,azelastine ophthalmic solution,azelastine ophthalmic solution,azelastine ophthalmic solution
Azelastine-Fluticasone,azelastine fluticasone,azelastine fluticasone,azelastine fluticasone
Azelastine-Fluticasone-NaCl,azelastine fluticasone nacl,azelastine fluticasone,azelastine fluticasone
Azithromycin,azithromycin,azithromycin,azithromycin
Azor,azor,azor,azor
B 12,b ,b,b
B 6,b ,b,b
B Complex,b complex,b complex,b complex
B Complex Vitamins,b complex vitamins,b complex vitamins,b complex vitamin
B Complex vitamins,b complex vitamins,b complex vitamins,b complex vitamin
B complex,b complex,b complex,b complex
B complex vitamin,b complex vitamin,b complex vitamin,b complex vitamin
B complex vitamins,b complex vitamins,b complex vitamins,b complex vitamin
B vitamins complex,b vitamins complex,b vitamins complex,vitamin b complex
B-12,b ,b,b
B-12 Vitamins,b  vitamins,b vitamins,b vitamin
B-12 vitamin,b  vitamin,b vitamin,b vitamin
B-6,b ,b,b
B-6 ORAL,b  oral,b,b
B-6 vitamin,b  vitamin,b vitamin,b vitamin
B-Complex,b complex,b complex,b complex
B-Complex Vitamins,b complex vitamins,b complex vitamins,b complex vitamin
B-complex,b complex,b complex,b complex
B12,b1,b1,b1
B12 FOLATE,b1 folate,b1 folate,b1 oleate
B50,b5,b5,b5
B6,b6,b6,b6
B6 vitamin,b6 vitamin,b6 vitamin,b6 vitamin
BACTRIM DS,bactrim ds,bactrim ds,bactrim ds
BASAGLAR,basaglar,basaglar,basaglar
BCM study meds,bcm study meds,bcm study meds,bcm study meds
BECONASE AQ,beconase aq,beconase aq,beconase aq
BEE POLLEN-PROPOLIS-ROYALJELLY,bee pollen propolis royaljelly,bee pollen propolis royaljelly,bee pollen propolis royaljelly
BENADRYL,benadryl,benadryl,benadryl
BENZACLIN,benzaclin,benzaclin,benzaclin
BENZONATATE,benzonatate,benzonatate,benzonatate
BETAMETHASONE ACET,betamethasone acet,betamethasone,betamethasone
BETAMETHASONE ACET-SOD PHOS,betamethasone acet sod phos,betamethasone acet sod phos,betamethasone acetic sod phos
BEYAZ,beyaz,beyaz,beyaz
BIotin,biotin,biotin,biotin
BMZ,bmz,bmz,bmz
BONJESTA,bonjesta,bonjesta,bonjesta
BREO,breo,breo,breo
BROVEX,brovex,brovex,brovex
BUDESONIDE,budesonide,budesonide,budesonide
BUDESONIDE 32 MCG/ACT NASAL SUSP,budesonide  mcgact nasal susp,budesonide mcgact nasal susp,budesonide mcgact nasal usp
BUPRENORPHINE,buprenorphine,buprenorphine,buprenorphine
BUTALBITAL,butalbital,butalbital,butalbital
Bacillus Coagulans-Inulin,bacillus coagulans inulin,bacillus coagulans inulin,insulin
Bacitracin,bacitracin,bacitracin,bacitracin
Bacitracin ointment,bacitracin ointment,bacitracin,bacitracin
Bacitracin-polymyxin B ointment,bacitracin polymyxin b ointment,bacitracin polymyxin b,bacitracin  polymyxin b
Bactrim,bactrim,bactrim,bactrim
Bactrim DS,bactrim ds,bactrim ds,bactrim ds
Banophen,banophen,banophen,banophen
Barbiturates,barbiturates,barbiturates,barbiturates
Basaglar,basaglar,basaglar,basaglar
Beclamethasone,beclamethasone,beclamethasone,beclomethasone
Beclometasone dipropionate inhaler,beclometasone dipropionate inhaler,beclometasone dipropionate,beclomethasone dipropionate
Beclomethasone,beclomethasone,beclomethasone,beclomethasone
Beclomethasone Dipropionate,beclomethasone dipropionate,beclomethasone dipropionate,beclomethasone dipropionate
Beclomethazone,beclomethazone,beclomethazone,beclomethasone
Beconase,beconase,beconase,beconase
Benadry;,benadry,benadry,benadry
Benadryl,benadryl,benadryl,benadryl
Benadryl-lidocaine 2% Vis-Maalox,benadryl lidocaine  vis maalox,benadryl lidocaine vis maalox,benadryl lidocaine vi maalox
Benadryl-lidocaine 2% Vis-Maalox+ 1:1:1,benadryl lidocaine  vis maalox ,benadryl lidocaine vis maalox,benadryl lidocaine vi maalox
Benadryl-lidocaine-Vis-Maalox,benadryl lidocaine vis maalox,benadryl lidocaine vis maalox,benadryl lidocaine vi maalox
Benedryl,benedryl,benedryl,benedryl
Benefiber,benefiber,benefiber,benefiber
Bengay cream,bengay cream,bengay,bengal
Benodryl,benodryl,benodryl,benzoyl
Bentyl,bentyl,bentyl,benzyl
Benzathine penicillin,benzathine penicillin,benzathine penicillin,benzathine penicillin
Benzoate,benzoate,benzoate,benzoate
Benzocain-menthol Lozg,benzocain menthol lozg,benzocain menthol lozg,benzocaine menthol lozg
Benzocaine,benzocaine,benzocaine,benzocaine
Benzocaine-Benzathonium,benzocaine benzathonium,benzocaine benzathonium,benzocaine benzethonium
Benzocaine-menthol,benzocaine menthol,benzocaine menthol,benzocaine menthol
Benzodiazepines,benzodiazepines,benzodiazepines,benzodiazepines
Benzonatate,benzonatate,benzonatate,benzonatate
Benzoyl Peroxide,benzoyl peroxide,benzoyl peroxide,benzoyl peroxide
Bepostatine besilate,bepostatine besilate,bepostatine besilate,bepotastine besilate
Beta-Val,beta val,beta val,beta veal
Betamehtasone,betamehtasone,betamehtasone,betamethasone
Betamethasone,betamethasone,betamethasone,betamethasone
Betamethasone Cream,betamethasone cream,betamethasone,betamethasone
Betamethasone Dipropionate Aug 0.05 %,betamethasone dipropionate aug  ,betamethasone dipropionate aug,beclomethasone dipropionate
Betamethasone Dipropionate Augmented,betamethasone dipropionate augmented,betamethasone dipropionate augmented,betamethasone dipropionate augmented
Betamethasone Dipropionate Cream,betamethasone dipropionate cream,betamethasone dipropionate,beclomethasone dipropionate
Betamethasone Sod Phos & Acet,betamethasone sod phos  acet,betamethasone sod phos,betamethasone sod phos
Betamethasone Sod Phos & Acet 6,betamethasone sod phos  acet ,betamethasone sod phos,betamethasone sod phos
Betamethasone Sod Phos & Acet 6 mg/mL,betamethasone sod phos  acet  mgml,betamethasone sod phos acet mgml,betamethasone sod phos acetic mgml
Betamethasone Sodium Phosphate,betamethasone sodium phosphate,betamethasone sodium phosphate,dexamethasone sodium phosphate
Betamethasone acetate/Sodium Phosphate,betamethasone acetatesodium phosphate,betamethasone acetatesodium phosphate,dexamethasone sodium phosphate
Betamethasone acetate/Sodium phosphate,betamethasone acetatesodium phosphate,betamethasone acetatesodium phosphate,dexamethasone sodium phosphate
Betamethasone acetate/sodium phosphate,betamethasone acetatesodium phosphate,betamethasone acetatesodium phosphate,dexamethasone sodium phosphate
Betamethasone cream,betamethasone cream,betamethasone,betamethasone
Betamethasone external cream,betamethasone external cream,betamethasone external,betamethasone external
Betamethazone,betamethazone,betamethazone,betamethasone
Bethametasone,bethametasone,bethametasone,betamethasone
Bethametazone,bethametazone,bethametazone,betamethasone
Beyaz,beyaz,beyaz,beyaz
Bicillin,bicillin,bicillin,bicillin
Bicillin 2.4 million units,bicillin  million units,bicillin million units,bicillin million units
Bicillin L-A,bicillin l a,bicillin l a,bicillin l a
Bictegravir-emtricitabine-tenofovir,bictegravir emtricitabine tenofovir,bictegravir emtricitabine tenofovir,bictegravir emtricitabine tenofovir
Bictegravir-emtricitabine-tenofovir alafenamide,bictegravir emtricitabine tenofovir alafenamide,bictegravir emtricitabine tenofovir alafenamide,bictegravir emtricitabine tenofovir alafenamide
Bifera,bifera,bifera,bifera
Biktarvy,biktarvy,biktarvy,biktarvy
Biotin,biotin,biotin,biotin
Biotin forte,biotin forte,biotin forte,biotin forte
Bipolar meds,bipolar meds,bipolar meds,bipolar meds
Bisacodyl,bisacodyl,bisacodyl,bisacodyl
Bisacodyl rectal supp,bisacodyl rectal supp,bisacodyl rectal supp,bisacodyl rectal supp
Biscolax,biscolax,biscolax,biscolax
Bismuth Subsalicylate,bismuth subsalicylate,bismuth subsalicylate,bismuth subsalicylate
Bisoprolol Fumarate,bisoprolol fumarate,bisoprolol fumarate,bisoprolol fumarate
Blaxin,blaxin,blaxin,blaxin
Blood pressure,blood pressure,blood pressure,blood pressure
Bonjesta,bonjesta,bonjesta,bonjesta
Boric acid,boric acid,boric acid,boric acid
Botox,botox,botox,botox
Breo,breo,breo,breo
Breo Elliptac,breo elliptac,breo elliptac,breo elliptac
Bromfed DM,bromfed dm,bromfed,bromfed
Bromocriptine,bromocriptine,bromocriptine,bromocriptine
Brompheniramine,brompheniramine,brompheniramine,brompheniramine
BuPROPion,bupropion,bupropion,bupropion
Bubalbital-acetaminophen-caffeine,bubalbital acetaminophen caffeine,bubalbital acetaminophen caffeine,butalbital acetaminophen caffeine
Budesonide,budesonide,budesonide,budesonide
Budesonide Nasal,budesonide nasal,budesonide,budesonide
Budesonide nasal spray,budesonide nasal spray,budesonide,budesonide
Budesonide-Formoterol,budesonide formoterol,budesonide formoterol,budesonide  formoterol
Budesonide-Formoterol Fumarate,budesonide formoterol fumarate,budesonide formoterol fumarate,budesonide  formoterol
Budesonide-fermoterol,budesonide fermoterol,budesonide fermoterol,budesonide  formoterol
Budesonide-formoterol,budesonide formoterol,budesonide formoterol,budesonide  formoterol
Budesonide/formoterol,budesonideformoterol,budesonideformoterol,budesonide  formoterol
Budosenide,budosenide,budosenide,budesonide
Buffered lidocaine,buffered lidocaine,buffered lidocaine,buffered lidocaine
Bultalbital-Acetaminophen,bultalbital acetaminophen,bultalbital acetaminophen,butalbital acetaminophen
Bupivacaine,bupivacaine,bupivacaine,bupivacaine
Buprenorphine,buprenorphine,buprenorphine,buprenorphine
Buprenorphine/Naloxon,buprenorphinenaloxon,buprenorphinenaloxon,buprenorphine  naloxone
Buprenorphine/Naloxone,buprenorphinenaloxone,buprenorphinenaloxone,buprenorphine  naloxone
Bupropion,bupropion,bupropion,bupropion
Bupropion HCl,bupropion hcl,bupropion,bupropion
Buspar,buspar,buspar,buspar
Buspirone,buspirone,buspirone,buspirone
Buspirone HCl,buspirone hcl,buspirone,buspirone
Butalbital,butalbital,butalbital,butalbital
Butalbital-Acetaminophen-Caffeine,butalbital acetaminophen caffeine,butalbital acetaminophen caffeine,butalbital acetaminophen caffeine
Butalbital-acetaminophen-caffeine,butalbital acetaminophen caffeine,butalbital acetaminophen caffeine,butalbital acetaminophen caffeine
Butalbital-apap,butalbital apap,butalbital apap,butalbital
Butalbital/Caffeine/APA,butalbitalcaffeineapa,butalbitalcaffeineapa,butalbitalcaffeineapa
Butalbital/acetaminophen,butalbitalacetaminophen,butalbitalacetaminophen,butalbitalacetaminophen
Buthilhiocina,buthilhiocina,buthilhiocina,buthilhiocina
Butoconazole,butoconazole,butoconazole,butoconazole
Butoconazole Nitrate,butoconazole nitrate,butoconazole nitrate,butoconazole nitrate
Butoconazole Nitrate Vaginal Cream,butoconazole nitrate vaginal cream,butoconazole nitrate,butoconazole nitrate
Butoconazole cream,butoconazole cream,butoconazole,butoconazole
Butoconazole nitrate,butoconazole nitrate,butoconazole nitrate,butoconazole nitrate
Butorphanol,butorphanol,butorphanol,butorphanol
Bystollic,bystollic,bystollic,bystollic
CALCIUM,calcium,calcium,calcium
CALCIUM + D3,calcium  d,calcium d,calcium d
CALCIUM-VITAMIN D,calcium vitamin d,calcium vitamin d,calcium vitamin d
CALTRATE 600 PLUS-VIT D,caltrate  plus vit d,caltrate plus vit d,citrate plus vi d
CARAFATE,carafate,carafate,carafate
CAlcium,calcium,calcium,calcium
CBD oil,cbd oil,cbd oil,cbd oil
CBV,cbv,cbv,cbv
CEFPODOXIME,cefpodoxime,cefpodoxime,cefpodoxime
CEFTRIAXONE,ceftriaxone,ceftriaxone,ceftriaxone
CELESTONE,celestone,celestone,celestone
CELESTONE SOLUSPAN,celestone soluspan,celestone soluspan,celestone soluspan
CELEXA,celexa,celexa,celexa
CEPHALEXIN,cephalexin,cephalexin,cephalexin
CETIRIZINE,cetirizine,cetirizine,cetirizine
CHELATED MAGNESIUM,chelated magnesium,chelated magnesium,chelated magnesium
CHLORHEXIDINE GLUCONATE,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate
CHOLECALCIFEROL,cholecalciferol,cholecalciferol,cholecalciferol
CHOLEcalciferol,cholecalciferol,cholecalciferol,cholecalciferol
CHOLINE,choline,choline,choline
CIPROFLOXACIN,ciprofloxacin,ciprofloxacin,ciprofloxacin
CITRACAL SLOW RELEASE,citracal slow release,citracal slow release,citracal slow release
CITRANATAL ASSURE,citranatal assure,citranatal assure,citranatal assure
CLARITIN,claritin,claritin,claritin
CLARITIN-D 12,claritin d ,claritin d,claritin d
CLEOCIN,cleocin,cleocin,cleocin
CLINDAMYCIN,clindamycin,clindamycin,clindamycin
CLOBETASOL-EMOLLIENT 0.05,clobetasol emollient ,clobetasol emollient,clobetasol emollient
CLOMID,clomid,clomid,clomid
CLOTRIMAZOLE,clotrimazole,clotrimazole,clotrimazole
CLobetasol,clobetasol,clobetasol,clobetasol
CO Q 10,co q ,co q,cow q
CODEINE-GUAIFENESIN,codeine guaifenesin,codeine guaifenesin,codeine  guaifenesin
COLACE,colace,colace,colace
COLACE ORAL,colace oral,colace,colace
COLLAGEN,collagen,collagen,collagen
COMBIVENT RESPIMAT,combivent respimat,combivent respimat,combivent respimat
COMBIVIR,combivir,combivir,combivir
COMPLERA,complera,complera,complex
CORTISPORIN,cortisporin,cortisporin,cortisone
COZZAAR,cozzaar,cozzaar,cozzaar
COlace,colace,colace,colace
CRANBERRY,cranberry,cranberry,cranberry
CRANBERRY ORAL,cranberry oral,cranberry,cranberry
CYCLOBENZAPRINE,cyclobenzaprine,cyclobenzaprine,cyclobenzaprine
CYMBALTA,cymbalta,cymbalta,cymbalta
CYTOTEC,cytotec,cytotec,cytotec
Ca,ca,ca,cat
Cabergoline,cabergoline,cabergoline,cabergoline
Calcium,calcium,calcium,calcium
Calcium + Vitamin C,calcium  vitamin c,calcium vitamin c,calcium vitamin c
Calcium + Vitamin D3,calcium  vitamin d,calcium vitamin d,calcium vitamin d
Calcium / magnesium,calcium  magnesium,calcium magnesium,calcium magnesium
Calcium 1000 + D,calcium   d,calcium d,calcium d
Calcium Carb-Cholecalciferol,calcium carb cholecalciferol,calcium carb cholecalciferol,calcium carb cholecalciferol
Calcium Carbonate-Vit D,calcium carbonate vit d,calcium carbonate vit d,calcium carbonate  vitamin d
Calcium Carbonate-Vit D-Min,calcium carbonate vit d min,calcium carbonate vit d min,calcium carbonate  vitamin d
Calcium Carbonate-Vitamin D,calcium carbonate vitamin d,calcium carbonate vitamin d,calcium carbonate  vitamin d
Calcium Carbonate-Vitamin D3,calcium carbonate vitamin d,calcium carbonate vitamin d,calcium carbonate  vitamin d
Calcium Carbonate/Vitamin D 3,calcium carbonatevitamin d ,calcium carbonatevitamin d,calcium carbonate  vitamin d
Calcium Citrate-Vitamin D,calcium citrate vitamin d,calcium citrate vitamin d,calcium carbonate  vitamin d
Calcium Magnesium,calcium magnesium,calcium magnesium,calcium magnesium
Calcium Polycarbophil,calcium polycarbophil,calcium polycarbophil,calcium polycarbophil
Calcium Supplement,calcium supplement,calcium supplement,calcium supplement
Calcium Vit D3,calcium vit d,calcium vit d,calcium vi d
Calcium carbonate,calcium carbonate,calcium carbonate,calcium carbonate
Calcium carbonate + vitamin D3,calcium carbonate  vitamin d,calcium carbonate vitamin d,calcium carbonate  vitamin d
Calcium supplement,calcium supplement,calcium supplement,calcium supplement
Calcium supplements,calcium supplements,calcium supplements,calcium supplements
Calcium-Cholecalciferol,calcium cholecalciferol,calcium cholecalciferol,calcium cholecalciferol
Calcium-Cholecalciferol,calcium cholecalciferol,calcium cholecalciferol,calcium cholecalciferol
D3,d,d,d
Calcium-Cholecalciferol,calcium cholecalciferol,calcium cholecalciferol,calcium cholecalciferol
D3,d,d,d
Calcium-Magnesium-Vitamin D,calcium magnesium vitamin d,calcium magnesium vitamin d,calcium magnesium vitamin d
Calcium-Magnesium-Vitamin D 500-250-200 MG-MG-UNIT,calcium magnesium vitamin d    mg mg unit,calcium magnesium vitamin d mg mg unit,calcium magnesium vitamin d mg mg unit
Calcium-Magnesium-Zinc,calcium magnesium zinc,calcium magnesium zinc,calcium magnesium zinc
Calcium-Simethicone,calcium simethicone,calcium simethicone,calcium simethicone
Calcium-Vitamin D,calcium vitamin d,calcium vitamin d,calcium vitamin d
Calcium-Vitamin D3,calcium vitamin d,calcium vitamin d,calcium vitamin d
Calcium-carbonate/Vitamin D,calcium carbonatevitamin d,calcium carbonatevitamin d,calcium carbonate  vitamin d
Canagliflozin,canagliflozin,canagliflozin,canagliflozin
Canasa,canasa,canasa,canasa
Capsaicin cream,capsaicin cream,capsaicin,capsaicin
Carbamazepine,carbamazepine,carbamazepine,carbamazepine
Carbonyl Iron,carbonyl iron,carbonyl iron,carbonyl iron
Cardamom,cardamom,cardamom,cardamom
Cardispan,cardispan,cardispan,cardispan
Carvedilol,carvedilol,carvedilol,carvedilol
Catfish,catfish,catfish,catfish
CefTRIAXone,ceftriaxone,ceftriaxone,ceftriaxone
Cefadroxil,cefadroxil,cefadroxil,cefadroxil
Cefalexin,cefalexin,cefalexin,cephalexin
Cefazolin,cefazolin,cefazolin,cefazolin
Cefdinir,cefdinir,cefdinir,cefdinir
Cefepime,cefepime,cefepime,cefepime
Cefixime,cefixime,cefixime,cefixime
Cefpodoxime,cefpodoxime,cefpodoxime,cefpodoxime
Cefpoxime,cefpoxime,cefpoxime,cefpodoxime
Cefriaxon,cefriaxon,cefriaxon,ceftriaxone
Cefterizine,cefterizine,cefterizine,cetirizine
Ceftriaxone,ceftriaxone,ceftriaxone,ceftriaxone
Ceftriazone,ceftriazone,ceftriazone,ceftriaxone
Ceftrizone injection,ceftrizone injection,ceftrizone injection,ceftriaxone injection
Cefuroxime,cefuroxime,cefuroxime,cefuroxime
Celestone,celestone,celestone,celestone
Celestone Soluspan,celestone soluspan,celestone soluspan,celestone soluspan
Celexa,celexa,celexa,celexa
Cephalexin,cephalexin,cephalexin,cephalexin
Cephalexine,cephalexine,cephalexine,cephalexin
Cephelexin,cephelexin,cephelexin,cephalexin
Cephlexin,cephlexin,cephlexin,cephalexin
Cerezyme,cerezyme,cerezyme,cerezyme
Certirizine,certirizine,certirizine,cetirizine
Certolizumab pegol,certolizumab pegol,certolizumab pegol,certolizumab pegol
Cetirizine,cetirizine,cetirizine,cetirizine
Cextriaxone,cextriaxone,cextriaxone,ceftriaxone
Chemotherapy,chemotherapy,chemotherapy,chemotherapy
Chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine
Chlorhexidine wash,chlorhexidine wash,chlorhexidine wash,chlorhexidine
Chloroquine,chloroquine,chloroquine,chloroquine
Chlorphen-PE-Acetaminophen,chlorphen pe acetaminophen,chlorphen pe acetaminophen,chlorphenesin pea acetaminophen
Phenylephrine-APAP-gua,phenylephrine apap gua,phenylephrine apap gua,phenylephrine apap guar
Chlorpheniramine,chlorpheniramine,chlorpheniramine,chlorpheniramine
Chlorpheniramine Maleate,chlorpheniramine maleate,chlorpheniramine maleate,chlorpheniramine maleate
Cholecalciferol,cholecalciferol,cholecalciferol,cholecalciferol
Cholecalciferol,cholecalciferol,cholecalciferol,cholecalciferol
Cholesterol,cholesterol,cholesterol,cholesterol
Choline,choline,choline,choline
Chorellla,chorellla,chorellla,chorellla
Choriogonadotropin Alfa,choriogonadotropin alfa,choriogonadotropin alfa,chorionic gonadotropin
Chorionic Gonadotropin,chorionic gonadotropin,chorionic gonadotropin,chorionic gonadotropin
Chromium,chromium,chromium,chromium
Cianocobalamin,cianocobalamin,cianocobalamin,cianocobalamin
Ciclesonide,ciclesonide,ciclesonide,ciclesonide
Ciclopirox,ciclopirox,ciclopirox,ciclopirox
Cimzia,cimzia,cimzia,cimzia
Cinnamon suplements,cinnamon suplements,cinnamon suplements,cinnamon suplements
Cipro-HC,cipro hc,cipro hc,cipro hc
Ciprodex,ciprodex,ciprodex,ciprodex
Ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin
Ciprofloxacin (CIPRO) PO tab,ciprofloxacin cipro po tab,ciprofloxacin cipro,ciprofloxacin
Ciprofloxacin eye drops,ciprofloxacin eye drops,ciprofloxacin eye,ciprofloxacin
Ciprofloxacin otic solution,ciprofloxacin otic solution,ciprofloxacin otic solution,ciprofloxacin otic solution
Ciprofloxacin-Dexamethasone,ciprofloxacin dexamethasone,ciprofloxacin dexamethasone,ciprofloxacin  dexamethasone
Ciprofloxacin-dexamethasone otic suspension,ciprofloxacin dexamethasone otic suspension,ciprofloxacin dexamethasone otic suspension,ciprofloxacin dexamethasone otic suspension
Citalopram,citalopram,citalopram,citalopram
Citalopram Hydrobromide,citalopram hydrobromide,citalopram hydrobromide,citalopram hydrobromide
Citalopram hydrobromide,citalopram hydrobromide,citalopram hydrobromide,citalopram hydrobromide
CitraNatal,citranatal,citranatal,citranatal
CitraNatal 90 DHA,citranatal  dha,citranatal dha,citranatal dha
Citracal,citracal,citracal,citracal
Citranatal,citranatal,citranatal,citranatal
Citranatal 90 DHA 90-1,citranatal  dha  ,citranatal dha,citranatal dha
Citranatal Assure,citranatal assure,citranatal assure,citranatal assure
Citranatal DHA,citranatal dha,citranatal dha,citranatal dha
iron,iron,iron,iron
Citranatal assure,citranatal assure,citranatal assure,citranatal assure
Citric Acid,citric acid,citric acid,citric acid
Citrulline,citrulline,citrulline,citrulline
Claratin,claratin,claratin,claratin
Clarithromycin,clarithromycin,clarithromycin,clarithromycin
Claritin,claritin,claritin,claritin
Claritin D,claritin d,claritin d,claritin d
Claritin-D,claritin d,claritin d,claritin d
Claritine,claritine,claritine,cladribine
Clartin,clartin,clartin,clartin
Clartitin,clartitin,clartitin,clartitin
Clavamox,clavamox,clavamox,clavamox
Cleocin,cleocin,cleocin,cleocin
Cleocin-T,cleocin t,cleocin t,cleocin t
Climdamycin,climdamycin,climdamycin,clindamycin
Clindamycin,clindamycin,clindamycin,clindamycin
